Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
January,Economy,UK,UK,295.59,BMI,Legal Advisors Branch,295.59,295.59
February,Economy,UK,UK,168.49,BRITISH AIRWAYS,Immigration Group,168.49,168.49
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Immigration Group,146.54,146.54
January,Economy,UK,UK,80,FLYBE BRITISH EUROPEAN,HMIC,80,80
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group,71.03,71.03
January,Business Class,UK,UK,118.5,BRITISH AIRWAYS,Policy & Strategy,118.5,118.5
January,Economy,UK,UK,102.8,BRITISH AIRWAYS,OSCT,102.8,102.8
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate,11.99,11.99
February,Economy,UK,UK,157.62,BRITISH AIRWAYS,Immigration Group,157.62,157.62
January,Economy,UK,UK,170.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,170.53,170.53
February,Economy,UK,UK,150.51,FLYBE BRITISH EUROPEAN,Immigration Group,150.51,150.51
January,Economy,UK,UK,116.01,FLYBE BRITISH EUROPEAN,HMIC,116.01,116.01
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Criminal & Detention Group,135.62,135.62
January,Economy,UK,UK,63.85,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate,63.85,63.85
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate,278.5,278.5
January,Economy,UK,UK,59,FLYBE BRITISH EUROPEAN,HMIC,59,59
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Immigration Group,135.62,135.62
January,Economy,UK,Non EEA,941.47,VIRGIN ATLANTIC,International Group,941.47,941.47
February,Business Class,UK,UK,141.55,BRITISH AIRWAYS,Strategic Director Border,141.55,141.55
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group,134,134
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,65,65
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group,169.05,169.05
January,Economy,UK,UK,262.63,BRITISH AIRWAYS,Strategic Director Border,262.63,262.63
January,Economy,UK,UK,79.35,BRITISH AIRWAYS,Immigration Group,79.35,79.35
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,82.34,82.34
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,111.51,111.51
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,Immigration Group,211.62,211.62
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group,71.03,71.03
January,Economy,UK,UK,100.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,100.7,100.7
January,Economy,UK,UK,94.69,BRITISH AIRWAYS,Immigration Group,94.69,94.69
March,Economy,UK,Non EEA,245.63,LUFTHANSA GERMAN AIRLINES,Strategic Director Border,245.63,245.63
January,Economy,UK,UK,61.5,MANX2,Immigration Group,61.5,61.5
January,Economy,UK,UK,235,AIR SOUTHWEST,HMIC,235,235
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,82.34,82.34
February,Economy,EEA,UK,29.35,EASYJET,SIG,29.35,29.35
